timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1785152898680,7431,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-40,text,true,,14189,433,21,21,https://studyflow-assignment2-backend.onrender.com/api/courses,7429,0,46
1785152896715,9401,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-42,text,true,,844163,431,21,21,https://studyflow-assignment2-backend.onrender.com/api/tasks,9387,0,0
1785152906172,70,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-30,text,true,,251717,163,21,21,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,27,0,0
1785152906412,74,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-26,text,true,,1060,139,21,21,https://studyflow-frontend-hace.onrender.com/,74,0,49
1785152906622,70,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-42,text,true,,1060,139,21,21,https://studyflow-frontend-hace.onrender.com/,70,0,43
1785152906992,69,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-26,text,true,,251725,163,21,21,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,30,0,0
1785152907194,74,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-42,text,true,,251717,163,21,21,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,32,0,0
1785152898008,9267,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-31,text,true,,844146,431,21,21,https://studyflow-assignment2-backend.onrender.com/api/tasks,9191,0,43
1785152899947,7358,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-49,text,true,,14189,433,21,21,https://studyflow-assignment2-backend.onrender.com/api/courses,7358,0,45
1785152899166,8445,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-23,text,true,,14189,433,21,21,https://studyflow-assignment2-backend.onrender.com/api/courses,8445,0,44
1785152907781,67,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-31,text,true,,1060,139,21,21,https://studyflow-frontend-hace.onrender.com/,67,0,42
