timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1785165465517,30,GET index.html (frontend entry),200,OK,Light Load - 10 users / 30s ramp 1-2,true,,1059,139,6,6,https://studyflow-frontend-hace.onrender.com/,30,0,0
1785165465027,529,GET /api/tasks (list),200,OK,Light Load - 10 users / 30s ramp 1-5,true,,844161,431,6,6,https://studyflow-assignment2-backend.onrender.com/api/tasks,453,0,0
1785165465082,548,GET /api/courses (list),200,OK,Light Load - 10 users / 30s ramp 1-4,true,,14203,433,6,6,https://studyflow-assignment2-backend.onrender.com/api/courses,548,0,0
1785165465543,90,GET /api/courses (list),200,OK,Light Load - 10 users / 30s ramp 1-3,true,,14203,433,6,6,https://studyflow-assignment2-backend.onrender.com/api/courses,90,0,0
1785165465670,64,GET /api/courses (list),200,OK,Light Load - 10 users / 30s ramp 1-1,true,,14203,433,6,6,https://studyflow-assignment2-backend.onrender.com/api/courses,63,0,0
1785165464782,1153,POST /api/auth/login,200,OK,Light Load - 10 users / 30s ramp 1-6,true,,1549,271,6,6,https://studyflow-assignment2-backend.onrender.com/api/auth/login,1153,0,40
1785165466059,21,GET index.html (frontend entry),200,OK,Light Load - 10 users / 30s ramp 1-5,true,,1059,139,6,6,https://studyflow-frontend-hace.onrender.com/,21,0,0
1785165466053,36,GET main JS bundle,200,OK,Light Load - 10 users / 30s ramp 1-2,true,,240706,163,6,6,https://studyflow-frontend-hace.onrender.com/assets/index-vak3zIfW.js,23,0,0
1785165466133,385,GET /api/tasks (list),200,OK,Light Load - 10 users / 30s ramp 1-4,true,,844186,431,6,6,https://studyflow-assignment2-backend.onrender.com/api/tasks,311,0,0
1785165466442,124,GET index.html (frontend entry),200,OK,Light Load - 10 users / 30s ramp 1-6,true,,1059,139,6,6,https://studyflow-frontend-hace.onrender.com/,124,0,103
1785165466586,36,GET main JS bundle,200,OK,Light Load - 10 users / 30s ramp 1-5,true,,240714,163,6,6,https://studyflow-frontend-hace.onrender.com/assets/index-vak3zIfW.js,22,0,0
1785165466595,329,GET /api/courses (list),200,OK,Light Load - 10 users / 30s ramp 1-2,true,,14203,433,6,6,https://studyflow-assignment2-backend.onrender.com/api/courses,327,0,0
1785165466135,859,GET /api/tasks (list),200,OK,Light Load - 10 users / 30s ramp 1-3,true,,844170,431,6,6,https://studyflow-assignment2-backend.onrender.com/api/tasks,782,0,0
1785165467023,23,GET index.html (frontend entry),200,OK,Light Load - 10 users / 30s ramp 1-4,true,,1059,139,6,6,https://studyflow-frontend-hace.onrender.com/,23,0,0
1785165467072,70,GET main JS bundle,200,OK,Light Load - 10 users / 30s ramp 1-6,true,,240706,163,6,6,https://studyflow-frontend-hace.onrender.com/assets/index-vak3zIfW.js,23,0,0
1785165467124,321,GET /api/courses (list),200,OK,Light Load - 10 users / 30s ramp 1-5,true,,14203,433,7,7,https://studyflow-assignment2-backend.onrender.com/api/courses,321,0,0
